,file_path,xml_id,text_content,num_lb,num_quote,num_rs,num_add,num_del,num_hi,num_handShift,num_metamark,num_anchor,text_length,num_ptr,zone_id,zone_points,zone_area_px2,corpus_spaced,druck_unbekannt,hand,klein,nummer,x-klein
0,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.Y9i1p2,49,1,0,0,0,0,0,0,0,0,2,0,facs_1_r1,"2760,413 2848,413 2848,483 2760,483",6160.0,0.0,0.0,0.0,0.0,1.0,0.0
1,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.EMoQD0,Textile Kunst. Die Decke.,1,0,1,0,0,0,0,0,0,25,0,facs_1_r2,"1196,400 2045,400 2045,452 1196,452",44148.0,0.0,0.0,0.0,1.0,0.0,0.0
2,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.gCpuRP,"und Teppiche bereiten. Die rothbraune Farbe der thierischen und vegetabilischen Häute ist bei ihnen die Basis ihrer Polychromie. Doch üben sie auch das Mattengeflecht aus Stroh mit grosser Ge- schicklichkeit und natürlichem Geschmacke, wobei das Strohgelb die Basis der Polychromie bildet. Bei ihnen wie bei den Negern, die bei ihren Geflechten das Dunkelfarbige, Schwarze, im Kon- traste zu dem Weiss, bevorzugen, schliesst sich zugleich die deko- rative Kunst harmonisch an die natürliche Körperfarbe der Men- schen an.",9,0,1,0,0,0,0,0,0,521,0,facs_1_r3,"401,574 2876,574 2876,1481 401,1481",2244825.0,1.0,0.0,0.0,0.0,0.0,0.0
3,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.Z2QvWr,"Nach ganz gleichem Prinzipe verfährt der Chinese, der seine Farbenbeitzen nicht auf die gebleichte Baumwolle oder auf die gebleichte Seide applicirt, sondern die schöne Naturfarbe beider Stoffe als vermittelnden und verbindenden Grundton aller Farben benützt und durch dieses einfache Mittel sich es erleichtert, die lebhaftesten Farbenkontraste harmonisch zu verbinden. Hierin be- steht auch zum Theil das Geheimniss der tybetanischen Schawls mit ihrer, durch das mattglänzende Gelbweiss der Kachemirwolle gebrochenen und verbundenen Farbenpracht. (Vergleiche hierüber den später folgenden Artikel Färberei.)",10,0,3,0,0,2,0,0,0,609,0,facs_1_r4,"402,1512 2881,1512 2881,2550 402,2550",2573202.0,1.0,0.0,0.0,0.0,0.0,0.0
4,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.89MrcT,"Für das Verstehen der antiken Kunst und, was noch mehr, wohl gemerkt, auch für die wahre Praxis der Gegenwart ist das genannte Prinzip, welches die neueste europäische Industrie überall (z. B. zu ihrem grössten Nachtheile auch in der Porzellanmanufaktur) verlassen hat, von grösster Bedeutung. Genau genommen befolgt sie dasselbe noch immer, aber ohne es zu wissen und gleichsam auf Umwegen, da zum Beispiel der Oelmaler, in dessen erhabenste Gebiete sie hin- einzuwirken keinen Anstand mehr nimmt, bei dem „Aufsetzen“ seiner Pallette demselben Prinzipe huldigt, sowie auch die der Aquarellmalerei eigenthümliche Zauberwirkung hauptsächlich nur aus ihm hervorgeht. Gut ist es indessen, zu wissen, was man thut, weil dann das Gewollte oft auf einfacherem Wege besser erreicht werden kann. Die Industrie-Chemiker, die in der Leitung der grossen Kunstmanufakturanstalten keine Controle über siɔh dulden, setzen all’ ihren Ehrgeiz darein, chemisch reine Farben zu produciren, und sind die grössten Hindernisse einer Wieder- kehr zu besseren naturgemässen Grundsätzen des Colorits.",17,0,0,1,1,1,0,0,0,1076,0,facs_1_r5,"398,2556 2884,2556 2884,4316 398,4316",4375360.0,1.0,0.0,0.0,0.0,0.0,0.0
5,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.lUaOjl,7,1,0,0,0,0,0,0,0,0,1,0,facs_1_r6,"2407,4561 2472,4561 2472,4645 2407,4645",5460.0,0.0,0.0,0.0,0.0,0.0,1.0
6,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.JA7cav,sich,1,0,0,1,0,0,2,0,0,4,0,facs_1_r7,"2927,3809 3184,3809 3184,4012 2927,4012",52171.0,0.0,0.0,1.0,0.0,0.0,0.0
7,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_1.xml,p.X1CVTl,"(Siehe weiter unten, Artikel Farberei)",2,0,0,2,0,0,0,0,0,38,0,facs_1_r8,"347,4298 2710,4172 2954,4172 2954,4587 2422,4587 347,4440",780523.5,0.0,0.0,1.0,0.0,0.0,0.0
8,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_2.xml,p.867xwL,50,1,0,0,0,0,0,0,0,0,2,0,facs_2_r1,"545,416 631,416 631,489 545,489",6278.0,0.0,0.0,0.0,0.0,1.0,0.0
9,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_2.xml,p.vWmIX0,Drittes Hauptstück.,1,0,0,0,0,0,0,0,0,19,0,facs_2_r2,"1485,373 2088,373 2088,445 1485,445",43416.0,0.0,0.0,0.0,1.0,0.0,0.0
10,C:\Users\elena\Documents\GitHub\semper-tei_new\scripts\Q_rendition_automation\data_xmls\20_Ms_252_10_2.xml,p.Asg0fH,§. 14.,1,0,0,0,0,0,0,0,0,6,0,facs_2_r3,"1666,551 1891,551 1891,648 1666,648",21825.0,0.0,1.0,0.0,0.0,0.0,0.0
